jid,hbh,sfd,mdd,qfsj,ddsj
820000000,3U804,成都县,雪梅市,1577721600,1577980800
920000001,HR303,秀荣市,辛集县,1577721600,1577980800
620000002,HK625,莉市,邯郸县,1577721600,1577980800
820000003,3U275,秀芳县,凤兰市,1577721600,1577980800
820000004,MU688,西安市,合山市,1577721600,1577980800
720000005,HR403,昆明市,辽阳市,1577721600,1577980800
520000006,3U823,芳县,澳门市,1577721600,1577980800
320000007,HR786,刚县,台北市,1577721600,1577980800
720000008,CA465,太原市,斌县,1577721600,1577980800
820000009,CZ192,俊市,玉梅市,1577721600,1577980800
520000010,SC852,澳门市,汕尾市,1577721600,1577980800
820000011,MU582,重庆县,婷婷县,1577721600,1577980800
820000012,3U528,贵阳市,娟市,1577721600,1577980800
820000013,CA727,飞县,太原市,1577721600,1577980800
520000014,MD056,宜都县,杨县,1577721600,1577980800
120000015,MF908,莉县,秀兰县,1577721600,1577980800
220000016,WH532,勇市,淑兰市,1577721600,1577980800
820000017,SZ374,拉萨县,丽华县,1577721600,1577980800
220000018,3U144,贵阳县,张家港市,1577721600,1577980800
920000019,SC232,六盘水市,乌鲁木齐市,1577721600,1577980800
520000020,SC566,重庆县,海门市,1577721600,1577980800
420000021,TV421,济南县,海燕县,1577721600,1577980800
220000022,MU231,辽阳市,秀兰县,1577721600,1577980800
520000023,HR314,济南县,玉兰县,1577721600,1577980800
220000024,CJ113,拉萨县,淑华县,1577721600,1577980800
920000025,HR575,广州市,楠县,1577721600,1577980800
520000026,HR917,南昌县,嘉禾市,1577721600,1577980800
820000027,CJ352,瑞县,太原市,1577721600,1577980800
820000028,SC699,宇市,马鞍山市,1577721600,1577980800
720000029,TV265,丽丽县,建国市,1577721600,1577980800
420000030,MD163,巢湖市,长沙市,1577721600,1577980800
920000031,MF749,平市,重庆市,1577721600,1577980800
920000032,CZ856,哈尔滨市,英县,1577721600,1577980800
820000033,3U168,琳市,秀云县,1577721600,1577980800
720000034,CZ958,丹县,汕尾县,1577721600,1577980800
920000035,HR010,晨市,凤英市,1577721600,1577980800
620000036,HR430,志强市,英市,1577721600,1577980800
520000037,MU970,辉县,娜市,1577721600,1577980800
120000038,MF124,潜江市,红霞市,1577721600,1577980800
720000039,MF550,秀芳市,天津市,1577721600,1577980800
720000040,HK560,慧市,博县,1577721600,1577980800
320000041,HR525,婷市,丽市,1577721600,1577980800
320000042,CA149,丽丽市,岩县,1577721600,1577980800
320000043,WC912,桂兰县,莉县,1577721600,1577980800
720000044,SC977,嘉禾市,凯市,1577721600,1577980800
520000045,SC917,马鞍山市,强县,1577721600,1577980800
120000046,MU137,太原县,丽娟市,1577721600,1577980800
220000047,SZ589,英市,通辽市,1577721600,1577980800
720000048,HR315,洋市,文县,1577721600,1577980800
520000049,MD319,合山市,亮市,1577721600,1577980800
920000050,HR969,军市,鑫市,1577721600,1577980800
120000051,MU346,大冶县,长春县,1577721600,1577980800
320000052,HR066,荆门县,永安市,1577721600,1577980800
320000053,CZ762,海门县,倩县,1577721600,1577980800
620000054,SC619,玉县,柳州县,1577721600,1577980800
820000055,TV656,淑华市,成都市,1577721600,1577980800
120000056,TV343,红霞县,超市,1577721600,1577980800
520000057,CZ054,建国市,建国市,1577721600,1577980800
420000058,CA711,成市,鹏市,1577721600,1577980800
220000059,TV113,荣市,齐齐哈尔县,1577721600,1577980800
920000060,CA397,洋市,惠州县,1577721600,1577980800
120000061,HK219,波市,静县,1577721600,1577980800
220000062,TV192,伟县,林县,1577721600,1577980800
820000063,3U258,桂荣县,西宁市,1577721600,1577980800
620000064,MD181,鑫市,雪梅市,1577721600,1577980800
820000065,TV879,亮县,郑州市,1577721600,1577980800
420000066,CJ846,银川县,辛集县,1577721600,1577980800
620000067,CZ532,合山市,天津县,1577721600,1577980800
320000068,HK783,芳县,佛山市,1577721600,1577980800
420000069,MU369,柳州县,飞市,1577721600,1577980800
