jid,companyid,companyname,qyxz,qydz,clrq
330000000,0cd3cfada5bc7bcaedad9c6eadaf9311,佳禾信息有限公司,科技有限公司,湖南省大冶市淄川西安街z座,1454860800
930000001,737d83db31ef2e4e7e8c990619f1a8e1,凌云网络有限公司,传媒有限公司,澳门特别行政区马鞍山县东城杨路g座,1437408000
130000002,f432d8b2924a5b60829a2e4a6c1e691c,华远软件科技有限公司,传媒有限公司,山东省福州市蓟州王街G座,1473177600
830000003,72652e8da66c45ebcafdff1e9ee30079,鑫博腾飞传媒有限公司,传媒有限公司,新疆维吾尔自治区关岭县山亭潜江路f座,1441987200
130000004,2c4f03520e19f3922c998ca2970a9e4b,商软冠联信息有限公司,网络有限公司,青海省上海县清河贵阳街o座,1481212800
530000005,248d54f3498a1fac5ec1779171b829a0,七喜传媒有限公司,信息有限公司,黑龙江省飞县沙市银川路B座,1433692800
430000006,784905adedfd6efd96512d58d1e72d8b,诺依曼软件信息有限公司,科技有限公司,黑龙江省北京市房山陈路g座,1434211200
730000007,d97c1200b4b6c78bd5352c6da65d7c83,东方峻景传媒有限公司,传媒有限公司,重庆市俊市崇文北京路W座,1476460800
630000008,e4678b863541c6bb31fd44ba2ddb7431,明腾网络有限公司,网络有限公司,新疆维吾尔自治区东莞县普陀长沙街h座,1497196800
230000009,8d3163bd7ba5ba3e3d51335c53993706,惠派国际公司网络有限公司,传媒有限公司,宁夏回族自治区琴县东城南京路Y座,1420300800
830000010,f35f0282212b2b79dcf24b972e9c0fca,方正科技网络有限公司,科技有限公司,福建省澳门市普陀张街F座,1482940800
130000011,5fbc289aaf63acf65efc207bef31f3a1,维涛信息有限公司,信息有限公司,重庆市海口县上街郑州街O座,1505318400
130000012,005bbb91958a0badfc3a69d43f70d4f1,富罳信息有限公司,网络有限公司,甘肃省南宁市丰都合肥街f座,1423324800
730000013,88493c0fe7b59481fd6bb7b982f38101,开发区世创传媒有限公司,网络有限公司,澳门特别行政区长沙市翔安宗街n座,1444406400
730000014,b805a39988f5a4d816f790908fe59c8d,凌颖信息网络有限公司,信息有限公司,山西省齐齐哈尔市门头沟广州街z座,1500393600
930000015,06a376413d26a12f4ed66e43c8fa4f0e,中建创业科技有限公司,传媒有限公司,重庆市福州县白云武汉路c座,1497456000
630000016,81c9aefe0e1dcc5998d72a8ee48c77e7,四通信息有限公司,传媒有限公司,贵州省大冶县西峰王街d座,1482163200
330000017,aa2e5100761312cbfa1627b72e0e5ac9,信诚致远网络有限公司,网络有限公司,江苏省小红县兴山童路M座,1502380800
230000018,34cd8ccfab4209e91cfc4a99e00ad25b,七喜科技有限公司,传媒有限公司,江西省巢湖县黄浦黎街W座,1507824000
