jid,hcbc,sfd,mdd,fcsj,dzsj
740000000,G920,成市,贵阳县,1577721600,1577980800
340000001,C941,磊县,辛集市,1577721600,1577980800
240000002,Y188,长沙县,通辽县,1577721600,1577980800
340000003,D636,帅市,红市,1577721600,1577980800
740000004,T575,天津县,昆明市,1577721600,1577980800
940000005,N020,旭市,玉珍市,1577721600,1577980800
340000006,H474,洋县,荆门县,1577721600,1577980800
540000007,C856,想市,通辽市,1577721600,1577980800
540000008,R186,大冶县,建平县,1577721600,1577980800
940000009,S542,娟县,倩市,1577721600,1577980800
840000010,N679,佳县,帆县,1577721600,1577980800
640000011,T173,香港市,香港市,1577721600,1577980800
440000012,D047,莉市,玉英县,1577721600,1577980800
540000013,L112,瑜市,辛集市,1577721600,1577980800
640000014,L191,潮州市,阳县,1577721600,1577980800
240000015,Z310,太原市,娜市,1577721600,1577980800
340000016,H682,潜江县,平县,1577721600,1577980800
240000017,D866,帅县,云县,1577721600,1577980800
540000018,S821,海门市,西安市,1577721600,1577980800
240000019,R368,乌鲁木齐县,宁德市,1577721600,1577980800
840000020,L700,福州县,昆明县,1577721600,1577980800
840000021,Z415,阜新县,重庆县,1577721600,1577980800
240000022,Z803,昆明县,建县,1577721600,1577980800
740000023,D898,武汉县,秀荣县,1577721600,1577980800
140000024,K465,龙县,东市,1577721600,1577980800
940000025,L362,佛山市,志强县,1577721600,1577980800
740000026,D863,鑫县,华县,1577721600,1577980800
840000027,S315,帆县,杭州县,1577721600,1577980800
940000028,E412,邯郸县,太原市,1577721600,1577980800
140000029,A518,平市,红市,1577721600,1577980800
740000030,L449,燕县,永安县,1577721600,1577980800
640000031,Z284,玉兰市,宜都县,1577721600,1577980800
440000032,R928,乌鲁木齐市,宁德市,1577721600,1577980800
340000033,T140,丹市,梅县,1577721600,1577980800
540000034,D141,伟县,宁德市,1577721600,1577980800
640000035,T185,秀兰县,秀兰县,1577721600,1577980800
840000036,D351,大冶市,天津市,1577721600,1577980800
440000037,Y970,马鞍山县,利县,1577721600,1577980800
140000038,K382,红霞市,帆县,1577721600,1577980800
540000039,A030,嘉禾市,呼和浩特市,1577721600,1577980800
940000040,D713,佳县,娜县,1577721600,1577980800
640000041,H656,广州县,广州县,1577721600,1577980800
340000042,C871,超市,拉萨市,1577721600,1577980800
240000043,A220,台北市,太原县,1577721600,1577980800
240000044,L931,东市,桂花县,1577721600,1577980800
740000045,K999,贵阳县,淑珍县,1577721600,1577980800
240000046,D907,哈尔滨市,沈阳市,1577721600,1577980800
140000047,D554,瑜市,济南县,1577721600,1577980800
640000048,G360,兰州县,英市,1577721600,1577980800
540000049,H486,阳县,马鞍山县,1577721600,1577980800
440000050,T226,呼和浩特县,丹丹市,1577721600,1577980800
140000051,N056,香港市,亮市,1577721600,1577980800
540000052,T016,岩市,辽阳县,1577721600,1577980800
540000053,G039,台北市,海口县,1577721600,1577980800
240000054,N357,军县,丽市,1577721600,1577980800
840000055,R196,广州市,雪市,1577721600,1577980800
440000056,N387,强市,浩县,1577721600,1577980800
640000057,Z373,贵阳市,丽丽县,1577721600,1577980800
640000058,R827,西安市,敏市,1577721600,1577980800
240000059,R586,潮州县,芳县,1577721600,1577980800
140000060,K576,邯郸市,长春县,1577721600,1577980800
840000061,C997,杰市,玉梅县,1577721600,1577980800
140000062,H805,想市,秀梅市,1577721600,1577980800
540000063,A453,秀云县,大冶县,1577721600,1577980800
140000064,A464,瑜市,淑兰县,1577721600,1577980800
340000065,N969,淑兰市,玲市,1577721600,1577980800
240000066,A141,秀兰县,深圳市,1577721600,1577980800
340000067,R584,彬市,合山市,1577721600,1577980800
740000068,H159,太原市,重庆市,1577721600,1577980800
340000069,E017,晨县,鹏县,1577721600,1577980800
640000070,E574,玉市,洁市,1577721600,1577980800
640000071,H513,乌鲁木齐市,济南县,1577721600,1577980800
540000072,G107,成市,沈阳市,1577721600,1577980800
140000073,T537,东莞县,璐县,1577721600,1577980800
740000074,Z616,郑州县,军县,1577721600,1577980800
340000075,E730,鹏市,凯市,1577721600,1577980800
740000076,C839,雷县,亮市,1577721600,1577980800
640000077,R744,哈尔滨县,亮县,1577721600,1577980800
440000078,Z845,马鞍山市,南京县,1577721600,1577980800
740000079,H259,坤县,芳市,1577721600,1577980800
740000080,Z110,大冶县,关岭县,1577721600,1577980800
440000081,A456,兴安盟市,汕尾县,1577721600,1577980800
540000082,T427,静市,哈尔滨县,1577721600,1577980800
140000083,L966,兰州县,秀芳县,1577721600,1577980800
140000084,G807,雪市,凤兰县,1577721600,1577980800
140000085,Y964,岩市,波县,1577721600,1577980800
240000086,Y348,阳市,娜县,1577721600,1577980800
440000087,G967,台北县,马鞍山市,1577721600,1577980800
140000088,L868,涛市,哈尔滨县,1577721600,1577980800
440000089,H056,潮州市,秀芳县,1577721600,1577980800
540000090,N026,重庆市,璐市,1577721600,1577980800
240000091,L268,晨县,海口县,1577721600,1577980800
640000092,N190,丽县,六安市,1577721600,1577980800
440000093,S737,张家港县,帆县,1577721600,1577980800
140000094,K171,玉县,郑州县,1577721600,1577980800
